0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:51:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:53:16 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:53:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5549
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:53:53 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5549
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:53:57 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5549
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:53:58 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5535
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:53:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5535
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:34 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:35 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5535
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:41 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5535
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:47 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5535
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:47 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5535
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:52 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5535
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:56 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:58 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:59 +0900] "POST /FoodTrip/board/addLike HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:59:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:00:00 +0900] "POST /FoodTrip/board/cancelLike HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:00:00 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:00:01 +0900] "POST /FoodTrip/board/addLike HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:00:01 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:00:03 +0900] "GET /FoodTrip/board/addBoard HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:00:06 +0900] "POST /FoodTrip/board/addBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:00:06 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:59:53 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:59:54 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 3999
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:59:59 +0900] "GET /FoodTrip/board/addBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:13:59:59 +0900] "GET /FoodTrip/member/login HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:00:04 +0900] "POST /FoodTrip/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:00:04 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:00:05 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:01:13 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:05:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:05:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:05:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:05:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:05:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:05:42 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:05:43 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:00 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:01 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:02 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:07 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:08 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:32 +0900] "POST /FoodTrip/board/cancelLike HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:32 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:33 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:36 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:36 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:37 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:38 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:38 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:43 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:45 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:47 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:51 +0900] "POST /FoodTrip/board/addLike HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:51 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:51 +0900] "POST /FoodTrip/board/cancelLike HTTP/1.1" 200 7
